map	regime	visit	first_day	last_day	n_windows	n_pairs	pair_first	pair_last
D_primary	0	69	2014-05-24	2014-05-26	3	72	9704	9775
D_primary	1	74	2014-05-27	2014-05-30	4	96	9776	9871
D_primary	0	70	2014-05-31	2014-06-01	2	48	9872	9919
D_primary	1	75	2014-06-02	2014-06-04	3	65	9920	9984
D_primary	1	76	2014-07-11	2014-07-11	1	17	9993	10009
D_primary	0	71	2014-07-12	2014-07-13	2	48	10010	10057
D_primary	1	77	2014-07-14	2014-07-18	5	118	10058	10175
D_primary	0	72	2014-07-19	2014-07-20	2	48	10176	10223
D_primary	1	78	2014-07-21	2014-07-23	3	72	10224	10295
D_primary	1	79	2015-07-08	2015-07-10	3	72	10302	10373
D_primary	0	73	2015-07-11	2015-07-12	2	47	10374	10420
D_primary	1	80	2015-07-13	2015-07-17	5	120	10421	10540
D_primary	0	74	2015-07-18	2015-07-19	2	48	10541	10588
D_primary	1	81	2015-07-20	2015-07-24	5	120	10589	10708
D_primary	0	75	2015-07-25	2015-07-26	2	48	10709	10756
D_primary	1	82	2015-07-27	2015-07-31	5	118	10757	10874
D_primary	0	76	2015-08-01	2015-08-02	2	48	10875	10922
D_primary	1	83	2015-08-03	2015-08-07	5	119	10923	11041
D_primary	0	77	2015-08-08	2015-08-09	2	48	11042	11089
D_primary	1	84	2015-08-10	2015-08-14	5	119	11090	11208
D_primary	0	78	2015-08-15	2015-08-16	2	48	11209	11256
D_primary	1	85	2015-08-17	2015-08-21	5	119	11257	11375
D_primary	0	79	2015-08-22	2015-08-23	2	47	11376	11422
D_primary	1	86	2015-08-24	2015-08-29	6	136	11423	11558
D_primary	0	80	2015-08-30	2015-08-30	1	15	11559	11573
D_primary	1	87	2015-09-09	2015-09-11	3	68	11574	11641
D_primary	0	81	2015-09-12	2015-09-13	2	48	11642	11689
D_primary	1	88	2015-09-14	2015-09-16	3	67	11690	11756
D_primary	0	82	2015-10-04	2015-10-04	1	21	11771	11791
D_primary	1	89	2015-10-05	2015-10-09	5	101	11792	11892
D_primary	1	90	2015-11-04	2015-11-06	3	39	11904	11942
D_primary	0	83	2015-11-07	2015-11-08	2	26	11943	11968
D_primary	1	91	2015-11-09	2015-11-14	6	79	11969	12047
D_primary	0	84	2015-11-15	2015-11-15	1	16	12048	12063
D_primary	1	92	2015-11-16	2015-11-20	5	64	12064	12127
D_primary	0	85	2015-11-21	2015-11-22	2	27	12128	12154
D_primary	1	93	2015-11-23	2015-11-25	3	39	12155	12193
D_primary	0	86	2015-11-26	2015-11-30	5	66	12194	12259
D_primary	1	94	2015-12-01	2015-12-04	4	50	12260	12309
D_primary	0	87	2015-12-05	2015-12-06	2	25	12310	12334
D_primary	1	95	2015-12-07	2015-12-11	5	64	12335	12398
D_primary	0	88	2015-12-12	2015-12-13	2	27	12399	12425
D_primary	1	96	2015-12-14	2015-12-18	5	66	12426	12491
D_primary	0	89	2015-12-19	2015-12-20	2	32	12492	12523
D_primary	1	97	2015-12-21	2015-12-21	1	13	12524	12536
D_primary	1	98	2015-12-23	2015-12-23	1	12	12548	12559
D_primary	0	90	2015-12-24	2015-12-27	4	71	12560	12630
D_primary	1	99	2015-12-28	2015-12-28	1	18	12631	12648
D_primary	0	91	2015-12-29	2015-12-29	1	17	12649	12665
D_primary	1	100	2015-12-30	2015-12-30	1	16	12666	12681
D_primary	0	92	2015-12-31	2016-01-03	4	66	12682	12747
D_primary	1	101	2016-01-04	2016-01-08	5	81	12748	12828
D_primary	0	93	2016-01-09	2016-01-10	2	28	12829	12856
D_primary	1	102	2016-01-11	2016-01-13	3	42	12857	12898
D_primary	1	103	2016-01-15	2016-01-15	1	13	12910	12922
D_primary	0	94	2016-01-16	2016-01-18	3	47	12923	12969
D_primary	1	104	2016-01-19	2016-01-22	4	53	12970	13022
D_primary	0	95	2016-01-23	2016-01-24	2	29	13023	13051
D_primary	1	105	2016-01-25	2016-01-29	5	82	13052	13133
D_primary	0	96	2016-01-31	2016-01-31	1	15	13145	13159
D_primary	1	106	2016-02-01	2016-02-01	1	15	13160	13174
D_primary	0	97	2016-02-02	2016-02-03	2	37	13175	13211
D_primary	1	107	2016-02-04	2016-02-05	2	40	13212	13251
D_primary	0	98	2016-02-06	2016-02-07	2	48	13252	13299
D_primary	1	108	2016-02-08	2016-02-12	5	100	13300	13399
D_primary	0	99	2016-02-13	2016-02-15	3	58	13400	13457
D_primary	1	109	2016-02-16	2016-02-19	4	61	13458	13518
D_primary	0	100	2016-02-20	2016-02-21	2	29	13519	13547
D_primary	1	110	2016-02-22	2016-02-26	5	82	13548	13629
D_primary	0	101	2016-02-27	2016-02-28	2	26	13630	13655
D_primary	1	111	2016-02-29	2016-03-02	3	40	13656	13695
D_primary	1	112	2016-03-04	2016-03-04	1	12	13707	13718
D_primary	0	102	2016-03-05	2016-03-06	2	27	13719	13745
D_primary	1	113	2016-03-07	2016-03-12	6	82	13746	13827
D_primary	0	103	2016-03-13	2016-03-13	1	16	13828	13843
D_primary	1	114	2016-03-14	2016-03-18	5	90	13844	13933
D_primary	0	104	2016-03-19	2016-03-20	2	32	13934	13965
D_primary	1	115	2016-03-21	2016-03-25	5	84	13966	14049
D_primary	0	105	2016-03-26	2016-03-27	2	29	14050	14078
D_primary	1	116	2016-03-28	2016-04-01	5	76	14079	14154
D_primary	0	106	2016-04-02	2016-04-03	2	29	14155	14183
D_primary	1	117	2016-04-04	2016-04-08	5	102	14184	14285
D_primary	0	107	2016-04-09	2016-04-10	2	39	14286	14324
D_primary	1	118	2016-04-11	2016-04-15	5	96	14325	14420
D_primary	0	108	2016-04-16	2016-04-17	2	42	14421	14462
D_primary	1	119	2016-04-18	2016-04-22	5	114	14463	14576
D_primary	0	109	2016-04-23	2016-04-24	2	44	14577	14620
D_primary	1	120	2016-04-25	2016-04-26	2	36	14621	14656
D_primary	1	121	2016-05-05	2016-05-06	2	47	14665	14711
D_primary	0	110	2016-05-07	2016-05-08	2	48	14712	14759
D_primary	1	122	2016-05-09	2016-05-13	5	120	14760	14879
D_primary	0	111	2016-05-14	2016-05-15	2	48	14880	14927
D_primary	1	123	2016-05-16	2016-05-20	5	119	14928	15046
D_primary	0	112	2016-05-21	2016-05-22	2	48	15047	15094
D_primary	1	124	2016-05-23	2016-05-27	5	108	15095	15202
D_primary	0	113	2016-05-28	2016-05-30	3	64	15203	15266
D_primary	1	125	2016-05-31	2016-06-03	4	87	15267	15353
D_primary	0	114	2016-06-04	2016-06-05	2	48	15354	15401
D_primary	1	126	2016-06-06	2016-06-10	5	120	15402	15521
D_primary	0	115	2016-06-11	2016-06-12	2	48	15522	15569
D_primary	1	127	2016-06-13	2016-06-17	5	120	15570	15689
D_primary	0	116	2016-06-18	2016-06-19	2	48	15690	15737
D_primary	1	128	2016-06-20	2016-06-24	5	120	15738	15857
D_primary	0	117	2016-06-25	2016-06-26	2	48	15858	15905
D_primary	1	129	2016-06-27	2016-07-01	5	119	15906	16024
D_primary	0	118	2016-07-02	2016-07-06	5	120	16025	16144
D_primary	1	130	2016-07-07	2016-07-08	2	48	16145	16192
D_primary	0	119	2016-07-09	2016-07-11	3	72	16193	16264
D_primary	1	131	2016-07-12	2016-07-15	4	90	16265	16354
D_primary	0	120	2016-07-16	2016-07-19	4	96	16355	16450
D_primary	1	132	2016-07-20	2016-07-21	2	48	16451	16498
D_primary	0	121	2016-07-22	2016-07-22	1	24	16499	16522
D_primary	1	133	2016-07-23	2016-07-23	1	24	16523	16546
D_primary	0	122	2016-07-24	2016-07-24	1	24	16547	16570
D_primary	1	134	2016-07-25	2016-07-28	4	96	16571	16666
D_primary	0	123	2016-07-29	2016-07-31	3	72	16667	16738
D_primary	1	135	2016-08-01	2016-08-02	2	48	16739	16786
D_primary	0	124	2016-08-03	2016-08-03	1	24	16787	16810
D_primary	1	136	2016-08-04	2016-08-05	2	48	16811	16858
D_primary	0	125	2016-08-06	2016-08-07	2	48	16859	16906
D_primary	1	137	2016-08-08	2016-08-08	1	24	16907	16930
D_primary	0	126	2016-08-09	2016-08-10	2	48	16931	16978
D_primary	1	138	2016-08-11	2016-08-12	2	48	16979	17026
D_primary	0	127	2016-08-13	2016-08-14	2	48	17027	17074
D_primary	1	139	2016-08-15	2016-08-19	5	120	17075	17194
D_primary	0	128	2016-08-20	2016-08-21	2	48	17195	17242
D_primary	1	140	2016-08-22	2016-08-26	5	119	17243	17361
D_primary	0	129	2016-08-27	2016-08-29	3	72	17362	17433
D_primary	1	141	2016-08-30	2016-08-30	1	24	17434	17457
D_primary	0	130	2016-08-31	2016-08-31	1	24	17458	17481
D_primary	1	142	2016-09-01	2016-09-02	2	45	17482	17526
D_primary	0	131	2016-09-03	2016-09-05	3	72	17527	17598
D_primary	1	143	2016-09-06	2016-09-09	4	96	17599	17694
D_primary	0	132	2016-09-10	2016-09-11	2	48	17695	17742
D_primary	1	144	2016-09-12	2016-09-16	5	120	17743	17862
D_primary	0	133	2016-09-17	2016-09-18	2	46	17863	17908
D_primary	1	145	2016-09-19	2016-09-23	5	118	17909	18026
D_primary	0	134	2016-09-24	2016-09-26	3	71	18027	18097
D_primary	1	146	2016-09-27	2016-09-30	4	95	18098	18192
D_primary	0	135	2016-10-01	2016-10-02	2	48	18193	18240
D_primary	1	147	2016-10-03	2016-10-07	5	119	18241	18359
D_primary	0	136	2016-10-08	2016-10-09	2	46	18360	18405
D_primary	1	148	2016-10-10	2016-10-14	5	118	18406	18523
D_primary	0	137	2016-10-15	2016-10-16	2	42	18524	18565
D_primary	1	149	2016-10-17	2016-10-21	5	112	18566	18677
D_primary	0	138	2016-10-22	2016-10-24	3	71	18678	18748
D_primary	1	150	2016-10-25	2016-10-28	4	96	18749	18844
D_primary	0	139	2016-10-29	2016-10-30	2	48	18845	18892
D_primary	1	151	2016-10-31	2016-11-04	5	120	18893	19012
D_primary	0	140	2016-11-05	2016-11-06	2	48	19013	19060
D_primary	1	152	2016-11-07	2016-11-11	5	120	19061	19180
D_primary	0	141	2016-11-12	2016-11-13	2	48	19181	19228
D_primary	1	153	2016-11-14	2016-11-18	5	120	19229	19348
D_primary	0	142	2016-11-19	2016-11-20	2	48	19349	19396
D_primary	1	154	2016-11-21	2016-11-22	2	48	19397	19444
D_primary	0	143	2016-11-23	2016-11-28	6	142	19445	19586
D_primary	1	155	2016-11-29	2016-12-03	5	119	19587	19705
D_primary	0	144	2016-12-04	2016-12-04	1	21	19706	19726
D_primary	1	156	2016-12-05	2016-12-09	5	114	19727	19840
D_primary	0	145	2016-12-10	2016-12-12	3	72	19841	19912
D_primary	1	157	2016-12-13	2016-12-15	3	72	19913	19984
D_primary	0	146	2016-12-16	2016-12-18	3	66	19985	20050
D_primary	1	158	2016-12-19	2016-12-22	4	96	20051	20146
D_primary	0	147	2016-12-23	2016-12-27	5	120	20147	20266
D_primary	1	159	2016-12-28	2016-12-29	2	48	20267	20314
D_primary	0	148	2016-12-30	2017-01-02	4	96	20315	20410
D_primary	1	160	2017-01-03	2017-01-06	4	96	20411	20506
D_primary	0	149	2017-01-07	2017-01-11	5	120	20507	20626
D_primary	1	161	2017-01-12	2017-01-13	2	48	20627	20674
D_primary	0	150	2017-01-14	2017-01-16	3	72	20675	20746
D_primary	1	162	2017-01-17	2017-01-20	4	96	20747	20842
D_primary	0	151	2017-01-21	2017-01-22	2	48	20843	20890
D_primary	1	163	2017-01-23	2017-01-27	5	120	20891	21010
D_primary	0	152	2017-01-28	2017-01-29	2	48	21011	21058
D_primary	1	164	2017-01-30	2017-02-03	5	120	21059	21178
D_primary	0	153	2017-02-04	2017-02-05	2	48	21179	21226
D_primary	1	165	2017-02-06	2017-02-10	5	120	21227	21346
D_primary	0	154	2017-02-11	2017-02-12	2	48	21347	21394
D_primary	1	166	2017-02-13	2017-02-14	2	31	21395	21425
D_primary	1	167	2017-02-21	2017-02-21	1	15	21426	21440
D_primary	1	168	2017-02-28	2017-03-03	4	85	21444	21528
D_primary	0	155	2017-03-04	2017-03-05	2	48	21529	21576
D_primary	1	169	2017-03-06	2017-03-10	5	120	21577	21696
D_primary	0	156	2017-03-11	2017-03-12	2	47	21697	21743
D_primary	1	170	2017-03-13	2017-03-17	5	118	21744	21861
D_primary	0	157	2017-03-18	2017-03-19	2	48	21862	21909
D_primary	1	171	2017-03-20	2017-03-25	6	143	21910	22052
D_primary	0	158	2017-03-26	2017-03-26	1	24	22053	22076
D_primary	1	172	2017-03-27	2017-03-31	5	120	22077	22196
D_primary	0	159	2017-04-01	2017-04-02	2	48	22197	22244
D_primary	1	173	2017-04-03	2017-04-07	5	118	22245	22362
D_primary	0	160	2017-04-08	2017-04-09	2	48	22363	22410
D_primary	1	174	2017-04-10	2017-04-13	4	89	22411	22499
D_primary	1	175	2017-04-20	2017-04-21	2	36	22503	22538
D_primary	0	161	2017-04-22	2017-04-23	2	48	22539	22586
D_primary	1	176	2017-04-24	2017-04-29	6	144	22587	22730
D_primary	0	162	2017-04-30	2017-04-30	1	24	22731	22754
D_primary	1	177	2017-05-01	2017-05-05	5	120	22755	22874
D_primary	0	163	2017-05-06	2017-05-07	2	48	22875	22922
D_primary	1	178	2017-05-08	2017-05-12	5	120	22923	23042
D_primary	0	164	2017-05-13	2017-05-14	2	48	23043	23090
D_primary	1	179	2017-05-15	2017-05-19	5	120	23091	23210
D_primary	0	165	2017-05-20	2017-05-21	2	48	23211	23258
D_primary	1	180	2017-05-22	2017-05-26	5	120	23259	23378
D_primary	0	166	2017-05-27	2017-05-29	3	72	23379	23450
D_primary	1	181	2017-05-30	2017-06-02	4	96	23451	23546
D_primary	0	167	2017-06-03	2017-06-04	2	48	23547	23594
D_primary	1	182	2017-06-05	2017-06-09	5	120	23595	23714
D_primary	0	168	2017-06-10	2017-06-11	2	48	23715	23762
D_primary	1	183	2017-06-12	2017-06-16	5	120	23763	23882
D_primary	0	169	2017-06-17	2017-06-18	2	48	23883	23930
D_primary	1	184	2017-06-19	2017-06-23	5	120	23931	24050
D_primary	0	170	2017-06-24	2017-06-25	2	48	24051	24098
D_primary	1	185	2017-06-26	2017-06-30	5	120	24099	24218
D_primary	0	171	2017-07-01	2017-07-02	2	44	24219	24262
D_primary	0	172	2017-07-09	2017-07-09	1	13	24268	24280
D_primary	1	186	2017-07-10	2017-07-14	5	118	24281	24398
D_primary	0	173	2017-07-15	2017-07-16	2	48	24399	24446
D_primary	1	187	2017-07-17	2017-07-21	5	120	24447	24566
D_primary	0	174	2017-07-22	2017-07-23	2	48	24567	24614
D_primary	1	188	2017-07-24	2017-07-28	5	120	24615	24734
D_primary	0	175	2017-07-29	2017-07-30	2	48	24735	24782
D_primary	1	189	2017-07-31	2017-08-04	5	120	24783	24902
D_primary	0	176	2017-08-05	2017-08-06	2	48	24903	24950
D_primary	1	190	2017-08-07	2017-08-11	5	120	24951	25070
D_primary	0	177	2017-08-12	2017-08-13	2	48	25071	25118
D_primary	1	191	2017-08-14	2017-08-18	5	119	25119	25237
D_primary	0	178	2017-08-19	2017-08-20	2	48	25238	25285
D_primary	1	192	2017-08-21	2017-08-25	5	120	25286	25405
D_primary	0	179	2017-08-26	2017-08-27	2	48	25406	25453
D_primary	1	193	2017-08-28	2017-09-01	5	120	25454	25573
D_primary	0	180	2017-09-02	2017-09-04	3	72	25574	25645
D_primary	1	194	2017-09-05	2017-09-08	4	96	25646	25741
D_primary	0	181	2017-09-09	2017-09-10	2	48	25742	25789
D_primary	1	195	2017-09-11	2017-09-15	5	120	25790	25909
D_primary	0	182	2017-09-16	2017-09-17	2	48	25910	25957
D_primary	1	196	2017-09-18	2017-09-22	5	117	25958	26074
D_primary	0	183	2017-09-23	2017-09-24	2	48	26075	26122
D_primary	1	197	2017-09-25	2017-09-30	6	143	26123	26265
D_primary	0	184	2017-10-01	2017-10-01	1	24	26266	26289
D_primary	1	198	2017-10-02	2017-10-06	5	120	26290	26409
D_primary	0	185	2017-10-07	2017-10-08	2	48	26410	26457
D_primary	1	199	2017-10-09	2017-10-14	6	144	26458	26601
D_primary	0	186	2017-10-15	2017-10-15	1	24	26602	26625
D_primary	1	200	2017-10-16	2017-10-20	5	120	26626	26745
D_primary	0	187	2017-10-21	2017-10-22	2	48	26746	26793
D_primary	1	201	2017-10-23	2017-10-27	5	120	26794	26913
D_primary	0	188	2017-10-28	2017-10-29	2	48	26914	26961
D_primary	1	202	2017-10-30	2017-11-03	5	120	26962	27081
D_primary	0	189	2017-11-04	2017-11-05	2	48	27082	27129
D_primary	1	203	2017-11-06	2017-11-10	5	118	27130	27247
D_primary	0	190	2017-11-11	2017-11-12	2	47	27248	27294
D_primary	1	204	2017-11-13	2017-11-17	5	119	27295	27413
D_primary	0	191	2017-11-18	2017-11-19	2	48	27414	27461
D_primary	1	205	2017-11-20	2017-11-22	3	72	27462	27533
D_primary	0	192	2017-11-23	2017-11-26	4	96	27534	27629
D_primary	1	206	2017-11-27	2017-12-02	6	144	27630	27773
D_primary	0	193	2017-12-03	2017-12-03	1	24	27774	27797
D_primary	1	207	2017-12-04	2017-12-04	1	24	27798	27821
D_primary	0	194	2017-12-05	2017-12-05	1	21	27822	27842
D_primary	1	208	2017-12-06	2017-12-09	4	96	27843	27938
D_primary	0	195	2017-12-10	2017-12-10	1	24	27939	27962
D_primary	1	209	2017-12-11	2017-12-15	5	120	27963	28082
D_primary	0	196	2017-12-16	2017-12-17	2	48	28083	28130
D_primary	1	210	2017-12-18	2017-12-22	5	120	28131	28250
D_primary	0	197	2017-12-23	2017-12-26	4	95	28251	28345
D_primary	1	211	2017-12-27	2017-12-27	1	24	28346	28369
D_primary	0	198	2017-12-28	2018-01-01	5	120	28370	28489
D_primary	1	212	2018-01-02	2018-01-05	4	96	28490	28585
D_primary	0	199	2018-01-06	2018-01-07	2	48	28586	28633
D_primary	1	213	2018-01-08	2018-01-10	3	72	28634	28705
D_primary	0	200	2018-01-11	2018-01-11	1	24	28706	28729
D_primary	1	214	2018-01-12	2018-01-12	1	24	28730	28753
D_primary	0	201	2018-01-13	2018-01-15	3	72	28754	28825
D_primary	1	215	2018-01-16	2018-01-19	4	95	28826	28920
D_primary	0	202	2018-01-20	2018-01-23	4	96	28921	29016
D_primary	1	216	2018-01-24	2018-01-27	4	96	29017	29112
D_primary	0	203	2018-01-28	2018-01-28	1	24	29113	29136
D_primary	1	217	2018-01-29	2018-02-02	5	119	29137	29255
D_primary	0	204	2018-02-03	2018-02-04	2	48	29256	29303
D_primary	1	218	2018-02-05	2018-02-09	5	120	29304	29423
